puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak
diPBH8rWysvm4g3QgoORnBhpmYeC92vAFjsMWhnCEoR2fxAtdIExA66oYriGbfTshDBwzQZo7xutMg,1222.0,I,83.0,69.0,False,False,True,False
i7atT3Mt78wOjWvPv4TQu_y2GoiC060Z-gkTWkdAPOaXpg_l_nGRQ64K_1L8-kAiCrKL1T7PIRTbQA,1221.0,I,120.0,104.0,True,False,False,False
XH1fLevlH4v42WghiEU3A0zqQEmFbiavNXKhrU5PBfrHZQgRGQ-n1UPQfrn4Hc61tQJoKiDGJgXC4Q,1218.0,I,103.0,79.0,False,False,False,False
2MjCwDN0y1-xKUjB4zZPMnWA_hpqhwPulevFS1TuJQxZx-Kl2Q04S09iJSlGvH_sRANmGtey2uF8OQ,1217.0,I,88.0,66.0,False,False,True,False
mSeOXfNTOPNK-UhGht73rUQwUmBXdF9bFzByVskbJGmkkC0w5VkNJVbVYkopUcBrlfBnrTxiOf5b0g,1210.0,I,79.0,48.0,False,False,False,True
WyXMR9chlHQOIXWwSxH2aJiTBDM9f3nGY7sjV9VK1eC6H9rNRFFd6Kv59ynhWDsq1MUIbc3Cr0Y-0A,1208.0,I,78.0,46.0,False,False,False,False
5oarStx2_p8BRKMwDa5lLIA1OIPT2iuI65YT43D71T1FeKwe-Z5hcVUxkNXHxphSu6hvhUFQwRWMWg,1207.0,I,93.0,78.0,False,False,True,False
U39kw9uTC5U04X9G9KMgI-EbS2RR9cYErPfBIsY1-XvxfZZq8GJtvFudnFmtRh4kc711_9bV_VvsiA,1206.0,I,82.0,54.0,False,False,True,False
rFRgf-FathWlJqHIuzOK5chYDU0yGjTfB5yiAHv-YJ8dxVrL71GcWt7Kt_sDPRC0DpmgZVpBsTcffQ,1204.0,I,92.0,60.0,False,False,False,False
iz8dCF9z1OkZxjCT9R_PbIXwkIVJQg_cY8EYrOZ05D3z1fDWJVYWeM07KOgspqWQuR5OWOxqubc-RQ,1200.0,I,85.0,73.0,False,False,False,False
NtWW7_uO5TJExS1z1oZd6IhOitJS9TbAYYSSAA2rMyRWvhF0VghYWTm2H_5FvD-ggv8dBmDKqeFCKg,1197.0,I,76.0,33.0,False,False,False,True
dtYq502t9CtjMPRwTzXWQf1N5q7tEw5Nnl7edgEcbppIChtM9uOQx6dlSkVjlmlvB7K-N33ggloGUA,1196.0,I,103.0,80.0,True,False,False,True
A6qq7ILBl4Mpxw5ARYEny_s5VPSA_5dA4flBqkbJG9jDTnjWE-59X7K5uxz4HV4iMX4MULi5qQ1kiQ,1195.0,I,82.0,63.0,False,False,True,True
wcVo4ms1uNo9gRqdiQEH54aB6Fka1xtu8Fei-ZIqyM_oMzPTTUXPV0NRq1bZS3RApu1-eQXu_j71Iw,1194.0,I,116.0,83.0,False,False,True,False
9-a_SA4zlNd2bdnG17eI3ZQ8jRvor4OHq26n4rOQ3GVeedspsnoB--Jy42OT5U1ODPzKzR4gFFbvnQ,1193.0,I,76.0,47.0,False,False,True,False
Dms5XG72JyjZNqE9J3vy6IDtR-hrVvhPwXEy1M3xd6sZGfJHdzle2yKaBOoUX9jpLXSdJymupuTmNA,1186.0,I,79.0,45.0,False,False,False,True
jTckU_DJTrrdS7kcuVHx4Mw8Su1QOt_w9H9BilMnNce1GN1uI0YJ8iWME1NTgjqwcsy-sqEx2J2Ojw,1180.0,I,108.0,83.0,False,False,True,False
FYib2lbVN_Ej2qTNfdwZbrmmTnkUVJePMstJw1alG72jAk81vtN4W_RS_EjcEVaFFeQpYIt0ZyuGFw,1177.0,I,69.0,58.0,False,False,True,False
JYITRDE318RTPkRFW8Lor3wxzOXUI_lPJvSDk_fLfqx4rf9ulkYvOIUt09CDSY-TLGwnd1KJewapig,1175.0,I,100.0,76.0,False,False,True,True
wIFl30K-HB8De-wHdbOmgOnkOMWkJqcDzOCZZUuIUo-_BJ4vEJQtPBt_K1lwmtXEDJuAQviqHIuGAg,1171.0,I,143.0,102.0,True,False,True,False
jWqdUW-f0jH2w9_spugLnVtabI1PKmvuP_zCh-e-1OwnVwaCOj82fy-GMGf3WDzBCQHCbZB0O-L2Jw,1157.0,I,98.0,89.0,False,False,True,False
9N7So2ktXmTpxEHXLZGl7SlMV-xuHJdcStV28-QQaiXdJNpPOWrzQrB30hn5qbkt2gtdp0_ka9t9dw,1157.0,I,89.0,80.0,False,False,True,False
K-RzbMe-qanJ1fstrP6OTDo7DjKnoSzrEbebte1VL_qHUKuCxKyur7HDtm93yyW-P21yxdBseZmLDw,1154.0,I,140.0,98.0,True,False,False,False
rR4gL6Ll9lS-7u8FaovDz4nABf-uO31AkAGigmlt0XZRJR66J6qxSH0QdRxmGHDN83Ri984theOdgg,1153.0,I,90.0,61.0,False,False,True,False
rb0sqhQ2F_Sa9h5E_3z2f7OfIKj0k9p0jhZgMzfKLOfCm1frSMSdD6l6QibarQIcJDo2Ihd8OYd3Pw,1152.0,I,101.0,75.0,False,False,False,True
QvD58HU1d3hFX9CZKW_IFhNc0jFoYrm-tEopTvx4V6iqkF1qMsvuFw-xiSFjYUoLDOj9DGsab1k3Lw,1151.0,I,100.0,96.0,False,False,False,False
VWZhrk_pyZL5GA8JsdkY2aUIsGY506WmXEQGGVGRi3GWJzHz79ycUsKUDP_h1Vt_EpD5-geZYB2uuQ,1149.0,I,87.0,65.0,False,False,True,False
zq1fU5alpy95c4W7-z6lfVZxy10YVyST6iWCVAKsnfaEkF23deCEaR9BMhcYwCEUPCArh5Z3yI5H-w,1149.0,I,75.0,64.0,False,False,False,False
lE4sJkGtKQPk9Gwic7m8QKRIKPFoF6IyFKUUbNvJm5QD7nfeFHA9Nzs9Lq5-pDgcTPPXVva30Ddd7g,1146.0,I,95.0,66.0,False,False,False,False
rTL5WYVmjHm5c8Ogob7bfK7DClLTgW_0EVa1FvXSnSNxItS8U6HD7e6mGEnuMQ6XGxoJvyMhothOag,1144.0,I,148.0,82.0,False,False,True,False
9Hb30_uKGbh7GHu2KFMrUrAlJ9ICHp5gTWbF9bWxsvSEb_synVdp9kiO5rLcOSgsvI6QTkyzqdGi5g,1141.0,I,107.0,103.0,True,False,False,False
h38tLzkOcTqv_otkzCIsLEhFWIK72e0H9yzqpj9Bs_3FZQXJRbzqGMv6oST2hyFn4ceSN6Wt2_69JA,1141.0,I,92.0,68.0,False,False,True,False
9D3t0ocb5P__x_Vqazc1UuhbCWq8-i93GRh_x8eiIsEKh6HQefH25rQN6A_e1BjU_KfVSdmjcjy4Tw,1134.0,I,95.0,70.0,False,False,True,False
yYtTLtoAXyBVkIWeN7DtliJTtZpodoEoQS9escscwMvuCm4lRy5Waf8SEI4d5PVRupU0IUESBd0wmw,1128.0,I,107.0,90.0,True,False,False,True
qq10TyzQql3liEPo1YKpMz6oLz_thA9EvLJtI0bDG4i31T4BytsE71viAF56TlpBe8tBAFoQqQsubg,1128.0,I,83.0,61.0,False,False,False,False
bngFRuc7qPhpQESrf6EkEZDPb3GBfl34YEQu0ddcHaIgvtEykkHhFjtxevUcZ3GV2uApooYaN4ZsJA,1127.0,I,101.0,81.0,False,False,True,True
GoxUrpBB_bLzjLE6IWzhyteo4kifup48sTEGZm45azOBp_hyhSjCcrn9F6DnBwu1DylplWDw7bNSAQ,1126.0,I,108.0,72.0,False,False,False,False
NRFRTgUuo5pMzgHA5gr4MgsXoLNGVNXR8h5kEwxKr1HQYbybF2UoE5vIYup4V9xrd7uBoqoetfWIDA,1124.0,I,82.0,54.0,False,False,False,True
7aBidto-nANCeCZBLEZmkEU5Rkay93oa7hKdpuUmmkryhHbwHTgBmmW8xTXMlfGw4yKpm4R8TmUFaQ,1122.0,I,132.0,96.0,False,False,True,True
IIEPGS5n4N3E7KQ63Til2n0KOkyVMGNZaJomFHbUHkXya6i__ZjIu9axt_c62_Meo0BAbiSXQl-_9g,1118.0,I,83.0,52.0,False,False,False,False
E8RTZqEjD4UGpvAVKd_TQeIEO37l91FIUuUVuefyVdSwNagwXsuw06lllwKz5MJyLTJbwLlHoNHeNw,1117.0,I,100.0,80.0,False,False,True,True
sv01fXKoDOcbRZekqff0RLsOXLMUYZZb38E_VruQSVrCyR-fJnRT874mWx-pvUNUbxMAA3DGqgPWCg,1114.0,I,114.0,99.0,True,False,False,False
0ThQw2kp1UQ50xTZ4EkiFrVWTFg-SxfSz1OoprYdb1hP15SzkgTKUtyRjp92epdRzcB0Yxkyr2wttw,1111.0,I,144.0,111.0,True,False,False,False
SJekiPTRpVPy42HmaF6e7QywRJuqL4QHxjIcXRymJS4c9bNFyFIVR_HiuJkrGR3-sbyrmazkmYaByg,1109.0,I,104.0,74.0,False,False,True,False
mi6XzYklSfwjbbg1RS-H7-fsIRSPTMnByJ47GS5o6sLLOZO-qjpsKkkbo5Mjru6vD75iapeSgcadCA,1108.0,I,84.0,70.0,False,False,True,False
NEVyB-0jVnLtp8SuwfICtzu-L3eAcSCAr7-QqqgNCouSLDhHiQVmaXCSNmPQLWHhdrSyCFVgVJUJaQ,1107.0,I,78.0,50.0,False,False,True,True
aBDn4h9cVBPsqPsGqqtQgV-Hujk2QhjyxTAdXS9ciScmt4R0sNVvMSNxw1V5TChziBq9aqENFccPNA,1106.0,I,67.0,56.0,False,False,True,False
OOetuOaY7xQA7TtWVw8NawhQ4ifx6C5hE_5ckgUFrV5t4Q1FUqlkH0LPUZoNxQ1YTXVw5M911UAPqQ,1102.0,I,65.0,48.0,False,False,False,False
qZlw-MXP3S3Mw-BfRjiHDNDxZd5xO-c6vn63lWojG5WfR7XJnn0Cu2tZ46KYMMfr4YYrhU9KgohxJw,1101.0,I,80.0,50.0,False,False,True,False
LYCCt_vBfy8YSUtyXAB0CP1jrwmQawi_ypGf3yRuqYQwKgNjwNxgZlXMGOCEbPp8UKPuxfOsFD8Szw,1098.0,I,74.0,58.0,False,False,False,False
vQ4eovCaIm0XUFEK5wWFTsbyBG9Ri-zzNb4W1uDRdZPdOB2g5D-9wS3qYM3yafSZAoS4zVR-tp5F0w,1095.0,I,72.0,62.0,False,False,True,False
zcFFdgG2FVd-FLFYjY-kOvCsTTkrbz9-kAGDRF6vBw9UKbkVzEbsYH2803b2hQs-9l1meJlKmgJEWg,1091.0,I,83.0,73.0,False,False,True,False
kClG-tegSfFIOB4rY2XRs_n7TzVKFhJ1t3reQx4O77i4SQ6PJM--dD1x_cOug64nr55vhJ8Yl5RXAA,1088.0,I,81.0,58.0,False,False,True,False
f2VkQKArC275JrIqiKwzGMyyibyfB6V-D8vSPAnO-ghofWKRFBXDd-q8GWVOE3H80RYPLAtRmmW_vA,1088.0,I,66.0,23.0,False,False,True,False
cgkuE3mZX6ueotZPs7yrmujkdQt3v4SLDq1JbAU4fCDqCmh2Aei-aPQUCJ2wcz-Bd2fLbRW_x9RktQ,1086.0,I,72.0,36.0,False,False,False,False
SzjvUDp5tD8_SWeGmj6BbiESvbwpVpfbjDnzAJ6WiPSzs8srQow5RkP5ge1_65MhrYCtt07QuQOdNw,1084.0,I,106.0,82.0,False,False,True,False
bUfW-qvdAdGUp75IBXkp7vuDs8BWCLOOksTkuQhfUQFe-hy4MtsC_vHfGy_dv2eyy_nIuIfzRiqqCw,1084.0,I,82.0,50.0,False,False,False,False
movcmBHw0D87NB0sJq2nYK915DfFCHQG6edujb0H5hwvymWfx8cedLx_GmLjOp4qAfQPveZmVBb1OQ,1079.0,I,97.0,79.0,False,False,False,False
0EF2KOLRv5PLU5MHUFU6JIPJmqocVnTOjaWsLYQeB5ykGYXCRC08X3x51ljrLdGshfF5LWZNf0HeqA,1077.0,I,104.0,91.0,True,False,False,False
BpUy2oYgoBUCUMkAOgp73GbH_kzMcMSNJTgNO0Y_WafqZrAZN8NBRiXThwIQZgTmNr-IOQz3Ub2kHQ,1076.0,I,87.0,60.0,False,False,False,False
CWY-5YtTsoEq6H3PQfMv1rRou4l92NpxOawPkp7kLSAQtaS4TL8tn4Dt-TsWRcWfW8v7oohhuXtHjA,1075.0,I,86.0,55.0,False,False,True,False
BK0IICfMIEhvOjL4_yWc9euG0pmU8D4pG1rcgfodpkD8e8QxScU7aUv6wwrB58Y0r4sFzefZhpCoSg,1074.0,I,107.0,81.0,True,False,False,False
0_xonWrgMfPijXCWXAICUaHvkm3zI26EDsg2TISia9xIL5-p93o69Zmv94nWhVq6qHs_dkwUkuluqg,1072.0,I,109.0,85.0,False,False,True,False
gDkYcXAU7QHTNm120mIK6JoTUrtKlkeR868gVQBEkhKYkWiAbaHvGih3B_dFsgEionR3_cgINlNRfw,1071.0,I,94.0,90.0,False,False,True,True
4NhNMnBXEzfQ2MePSE8L8FOftbE7mhQ9f1jVkUmW1GVjlSw6LJnyZmlU5fYB2FkJ9-WVKdCjFXvgeQ,1071.0,I,76.0,47.0,False,False,True,False
A1wvpjfiX-eWPjmVZkaCQxLB1bZdtq0aNDCuXKOSqb55EbRsx_NMJM41-1plx0CNL7jcq3hskSzd2A,1069.0,I,75.0,51.0,False,False,True,True
ho6plNrBi37W4HGaIis65DvZhYWJoQ9SQv0EHUQQySJZ52nnVjT8bYnmPWF6SD75vSWHHscjxVRQSg,1068.0,I,85.0,52.0,False,False,True,False
tH1Qho8WSSjJ6PxdYne3Mfa87yrZyEIavNEVfL3sZFWEVRm_cxcb2yqdKIxKj512Y_wL6I452CSdMA,1068.0,I,84.0,62.0,False,False,True,False
0cf8vKxn_PJRl0MfHbSB31hzSSbGXdUWHzlE1sinivI_DB1JLNv66E9YF8_3z_pN6RLfU0zFyLB3lQ,1068.0,I,78.0,53.0,False,False,True,False
qsSAVB2AivrbEx5pgMXm61JeDGbws0mNrmwOp1jSFVL_bsXn0j-BPc3upSjnI04V34TJjHMzjtAjFg,1067.0,I,81.0,59.0,False,False,True,True
kkB0LezU7KC3uqhk1Fk7OsODL2ynnImEBi1uX0rCC3y1xvtpuIM10MbRJPimY---VuaC_wTqEEdeJQ,1067.0,I,67.0,38.0,False,False,False,False
hfhQySc70Iwflzlcek5iNyf5W6nCEEniGH88TVyYYsTg1Fy3_c9miz4itWIg0Xh9ULtcTSCNADb__g,1063.0,I,76.0,58.0,False,False,True,False
JSfY0WvfYYawiWCAFQ2d8X1JXDznif40VWVC8g9sX7yPdJ87oC_1ZkvLRJEhUjWn3l0HgiC0tqPiAA,1062.0,I,109.0,94.0,False,False,True,False
xfuwXqzcw2YJJkzvFWWx19lE7y2N2hzLK_5vRP3kmMngY-6EHzctk6bEO7E60GgZqlIsZIQKOn-XOg,1062.0,I,70.0,49.0,False,False,True,False
f5H6WVW6pftsBZJlAJBkqlVVG2saegECIrPxLcZYeH41FdtDEy2Ee7TxXcr2krVsonglELYOG9tJUg,1061.0,I,95.0,80.0,False,False,True,True
Dfgs4QbvsPe24t8eD3wpK29LzFJXBryEXt4eNhbkSFaEGxePMlu5QQ1th2Cb8d0jPzAChBoY5mfPzQ,1060.0,I,72.0,40.0,False,False,True,True
TVDpgCyWjOI5_AP85BlL8Gpw_n2OqRIfo5sItDQKHL8_h3IArmOj-KWNGYYDRTeSP1kLppXerXoz6Q,1059.0,I,99.0,68.0,False,False,False,False
4J3A4HPHHLjGxf1-6493-FBeOtLWEpcohV6fFNYb7ouTDe5ZaC6P3CWxd-8Ex9PsgQq5oRcrjb3ISw,1059.0,I,99.0,97.0,False,False,True,False
LyO52zC2wpOryAdwY4-zTRXE5JFubJmQcPReVQHgb62ioiJYCJ8YJ1LwHhneuP9fw7lUHmI3AsXugg,1059.0,I,66.0,27.0,False,False,True,False
VMM9jorU16Fuvjg30oEXaJK3QCh9hiEV5cyKpgzenbAwJ6hd8_qYSgeIEL75XKLtt_Vp6Y-YSSYu0A,1057.0,I,137.0,103.0,False,False,True,False
r0E4BvAzregF1pz-CB5kALLf3FUOCfggBpJmgqgIEk7w2M3qtHPfinMALjpLIHCywjABUCnPTyIg6A,1057.0,I,127.0,88.0,False,False,True,False
yZfPei3scJ6O2DqAxcPcDsRhBeRCzlQjVmKOXnKWigKS6f9j1Tkwa4glhXVc4YCsaCHoXC2TP9Q80w,1057.0,I,101.0,74.0,True,False,False,False
XWRGm-_6oFE2UONo67ppKwuF8QBg2PTJQaQ4Zp6Ne5l3loZoQ6sJ5QG4OadcAifu80BJs_4KFmAdSw,1056.0,I,71.0,58.0,False,False,True,False
0OI865rZCeaItDlS8A6LMcn110DdXBDuI7_5qHduVovkNg3mYaaLtlOP5TpY_cg4586T0ksX2edVPA,1054.0,I,84.0,67.0,False,False,True,False
FeYmNxOdQ67hLaOgYNr8PjsS8t4CcHIAajks8AbW_V40g2BiDb_n6AVEC0PgY7kULhJ-W6KKMp-a0A,1053.0,I,139.0,119.0,True,False,False,True
sXkjw6njFeOAyafRTJTfgpyCs8QwKCg4jq4niX6hDi8EFw1h43LWDgans30-cZWmq_RbUW4xDrD1sQ,1051.0,I,100.0,73.0,False,False,True,True
